------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <rng3/dump_m7-bundled.bin>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 29   7   4   7   6   9  10  10   4  14  0.000000 *   92/100  *  NonOverlappingTemplate
 26   9   9  13  10   8   5   3   7  10  0.000051 *   90/100  *  NonOverlappingTemplate
 19   9  10  10  13   7  10   9   5   8  0.162606     93/100  *  NonOverlappingTemplate
 21   4  11  11  10   8   9  10   8   8  0.045675     95/100  *  NonOverlappingTemplate
 18  13   7  11   7   4   8  10   9  13  0.115387     91/100  *  NonOverlappingTemplate
 23   8   3  11  14   6   9  12   8   6  0.000954     93/100  *  NonOverlappingTemplate
 17  17   9  12   7   7   9   6   5  11  0.058984     90/100  *  NonOverlappingTemplate
 21   9  10   8   8   8  11  12   7   6  0.058984     94/100  *  NonOverlappingTemplate
 20   6  13  11  11  12   8   6  11   2  0.010237     93/100  *  NonOverlappingTemplate
 23  15   9   8   9   8   7   5   8   8  0.003447     90/100  *  NonOverlappingTemplate
 18   7  15  12   9   9   6   6   6  12  0.075719     90/100  *  NonOverlappingTemplate
 14   8  11  10   9   9   6  11  11  11  0.897763     95/100  *  NonOverlappingTemplate
 23   4   9  13  11   9   5  12   6   8  0.001628     95/100  *  NonOverlappingTemplate
 16  17   9   7   9  12   6  10  11   3  0.055361     92/100  *  NonOverlappingTemplate
 24  12   8   6  10  12   3  10   6   9  0.000648     90/100  *  NonOverlappingTemplate
 19  11   9   6   4   8  15  11  11   6  0.032923     95/100  *  NonOverlappingTemplate
 14   5  13  12   8  10  10  10  11   7  0.657933     94/100  *  NonOverlappingTemplate
 17   9  11  10   6   5  10   9  12  11  0.366918     94/100  *  NonOverlappingTemplate
 23  12   9   5   9  11  10   8   6   7  0.006196     88/100  *  NonOverlappingTemplate
 22   8  10   4  11   8  11  10  13   3  0.003201     94/100  *  NonOverlappingTemplate
 19   9   6   9  10  12  11  11   6   7  0.162606     94/100  *  NonOverlappingTemplate
